function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
sin,mpmath,64,3.30619e-13,5.00044e-13,1,,4.26962,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,boost,64,3.30619e-13,5.00044e-13,1,,18.4276,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,c_arb,64,,,,2.9989e-06,8.87064,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,jax_basic,64,3.82181e-17,2.22045e-16,0,2.9989e-06,0.656676,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,jax_adaptive,64,1.10142e-12,5.06617e-12,0,2.99891e-06,0.747443,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,jax_rigorous,64,1.10142e-12,5.06617e-12,0,2.99891e-06,0.380384,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,scipy,64,1.10142e-12,5.06617e-12,1,,0.006755,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,jax_point,64,1.10142e-12,5.06617e-12,1,,0.398918,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,mpmath,64,1.10142e-12,5.06617e-12,1,,0.990931,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tan,boost,64,1.10142e-12,5.06617e-12,1,,11.8395,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,c_arb,64,,,,2.04276e-06,0.109451,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,jax_basic,64,4.99817e-17,2.22045e-16,0,2.04276e-06,0.530842,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,jax_adaptive,64,1.14465e-12,2.73968e-11,0,2.04276e-06,0.434791,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,jax_rigorous,64,1.14465e-12,2.73968e-11,0,2.04276e-06,0.683364,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,scipy,64,1.14465e-12,2.73968e-11,1,,0.004748,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,jax_point,64,1.14465e-12,2.73968e-11,1,,1.21872,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,mpmath,64,1.14465e-12,2.73968e-11,1,,2.35758,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
log,boost,64,1.14465e-12,2.73968e-11,1,,25.4511,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,c_arb,64,,,,3.31969e-06,0.144615,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,jax_basic,64,9.40071e-17,8.88178e-16,0,3.31969e-06,0.479873,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,jax_adaptive,64,6.01158e-13,1.81011e-12,0,3.31969e-06,0.736512,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,jax_rigorous,64,6.01158e-13,1.81011e-12,0,3.31969e-06,0.900725,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,scipy,64,6.01164e-13,1.80966e-12,1,,0.009623,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,jax_point,64,6.01158e-13,1.81011e-12,1,,0.527004,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,mpmath,64,6.01148e-13,1.80966e-12,1,,0.748609,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sinh,boost,64,6.01164e-13,1.80966e-12,1,,8.14736,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
tanh,c_arb,64,,,,9.78901e-07,0.107439,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,jax_basic,64,8.81456e-17,2.22045e-16,0,9.78901e-07,0.290562,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,jax_adaptive,64,2.18896e-13,3.84581e-13,0,9.78902e-07,0.222839,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,jax_rigorous,64,2.18896e-13,3.84581e-13,0,9.78902e-07,0.197638,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,scipy,64,2.18918e-13,3.8447e-13,1,,0.004186,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,jax_point,64,2.18896e-13,3.84581e-13,1,,0.190342,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,mpmath,64,2.18914e-13,3.84581e-13,1,,0.558154,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
tanh,boost,64,2.18909e-13,3.84581e-13,1,,11.9386,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,c_arb,64,,,,9.27523e-07,0.072414,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,jax_basic,64,2.47198e-17,2.22045e-16,0,9.27523e-07,0.306606,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,jax_adaptive,64,4.80745e-13,2.0626e-11,0,9.27524e-07,0.221516,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,jax_rigorous,64,4.80745e-13,2.0626e-11,0,9.27525e-07,0.302539,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,scipy,64,4.80745e-13,2.0626e-11,1,,0.002717,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,jax_point,64,4.80745e-13,2.0626e-11,1,,0.169671,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,mpmath,64,4.80745e-13,2.0626e-11,1,,0.354081,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
sqrt,boost,64,4.80745e-13,2.0626e-11,1,,7.22743,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,c_arb,64,,,,2.6365e-06,0.074421,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,jax_basic,64,7.63278e-17,8.88178e-16,0,2.6365e-06,0.268662,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,jax_adaptive,64,8.8337e-13,1.87406e-12,0,2.6365e-06,0.196734,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,jax_rigorous,64,8.8337e-13,1.87406e-12,0,2.63651e-06,0.335214,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,scipy,64,8.83321e-13,1.87361e-12,1,,0.00473,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,jax_point,64,8.8337e-13,1.87406e-12,1,,0.153838,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,mpmath,64,8.83349e-13,1.87361e-12,1,,0.563432,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cosh,boost,64,8.83321e-13,1.87361e-12,1,,7.52212,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,c_arb,64,,,,1.34725e-06,0.077361,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,jax_basic,64,5.63785e-17,2.22045e-16,0,1.34725e-06,0.293515,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,jax_adaptive,64,3.05893e-13,4.99045e-13,0,1.34725e-06,0.216911,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,jax_rigorous,64,3.05893e-13,4.99045e-13,0,1.34725e-06,0.191976,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,scipy,64,3.05893e-13,4.99045e-13,1,,0.00376,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,jax_point,64,3.05893e-13,4.99045e-13,1,,0.133988,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
cos,mpmath,64,3.05893e-13,4.99045e-13,1,,1.38565,,64,1,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_1
