function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
tanh,jax_point,64,2.39734e-13,3.84359e-13,1,,3.47881,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,mpmath,64,2.39724e-13,3.84359e-13,1,,0.65165,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,boost,64,2.39728e-13,3.84359e-13,1,,9.55913,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,c_arb,64,,,,3.57471e-06,0.072158,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,jax_basic,64,1.14058e-16,1.77636e-15,0,3.57471e-06,2.76012,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,jax_adaptive,64,8.93694e-13,3.49054e-12,0,3.57472e-06,3.26961,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,jax_rigorous,64,8.93694e-13,3.49054e-12,0,3.57472e-06,4.12881,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,scipy,64,8.93683e-13,3.49054e-12,1,,0.070649,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,jax_point,64,8.93694e-13,3.49054e-12,1,,2.35065,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,mpmath,64,8.93683e-13,3.49054e-12,1,,0.415429,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
exp,boost,64,8.93683e-13,3.49054e-12,1,,8.58163,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,c_arb,64,,,,1.10355e-06,0.108846,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,jax_basic,64,6.20164e-17,2.22045e-16,0,1.10355e-06,4.3999,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,jax_adaptive,64,3.54305e-13,5.00044e-13,0,1.10355e-06,3.2233,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,jax_rigorous,64,3.54305e-13,5.00044e-13,0,1.10355e-06,2.83236,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,scipy,64,3.54303e-13,5.00044e-13,1,,0.091367,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,jax_point,64,3.54305e-13,5.00044e-13,1,,2.65435,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,mpmath,64,3.54303e-13,5.00044e-13,1,,1.38999,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sin,boost,64,3.54303e-13,5.00044e-13,1,,7.52852,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sqrt,c_arb,64,,,,9.08997e-07,0.10048,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,jax_basic,64,1.38778e-17,2.22045e-16,0,9.08997e-07,2.38827,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,jax_adaptive,64,4.26019e-13,1.66791e-11,0,9.08998e-07,4.25888,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,jax_rigorous,64,4.26019e-13,1.66791e-11,0,9.08999e-07,4.71742,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,scipy,64,4.26019e-13,1.66791e-11,1,,0.006322,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,jax_point,64,4.26019e-13,1.66791e-11,1,,2.0873,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,mpmath,64,4.26019e-13,1.66791e-11,1,,0.377179,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
sqrt,boost,64,4.26019e-13,1.66791e-11,1,,7.3737,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,c_arb,64,,,,1.46361e-06,0.106794,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,jax_basic,64,4.88704e-17,2.22045e-16,0,1.46361e-06,3.27715,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,jax_adaptive,64,2.80659e-13,4.97047e-13,0,1.46361e-06,2.24815,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,jax_rigorous,64,2.80659e-13,4.97047e-13,0,1.46361e-06,3.14933,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,scipy,64,2.80649e-13,4.97047e-13,1,,0.005628,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,jax_point,64,2.80659e-13,4.97047e-13,1,,2.51743,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,mpmath,64,2.80649e-13,4.97047e-13,1,,2.29472,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
cos,boost,64,2.80649e-13,4.97047e-13,1,,8.96257,,64,1,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_1
